ea_code,region_code,region,const_code,constituency,lz,hazard,wg,soc_sec,pop_size,pop_curr,pop_surv,pop_lhood,maize_eq,lhood_nad
10199001,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Very Poor,0,128,142,48,48,0.0184,11275
10199001,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Poor,0,128,142,44,44,0.0116,10439
10199001,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Middle,0,128,142,0,18,0.0000,760
10199001,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Rich,0,128,142,0,0,0.0000,0
10199001,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Very Poor,1,128,142,0,0,0.0000,0
10199001,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Poor,1,128,142,0,0,0.0000,0
10199001,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Middle,1,128,142,0,0,0.0000,0
10199001,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Rich,1,128,142,0,0,0.0000,0
10199002,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Very Poor,0,302,335,114,114,0.0434,40027
10199002,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Poor,0,302,335,104,104,0.0273,37058
10199002,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Middle,0,302,335,0,44,0.0000,2698
10199002,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Rich,0,302,335,0,0,0.0000,0
10199002,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Very Poor,1,302,335,0,0,0.0000,0
10199002,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Poor,1,302,335,0,0,0.0000,0
10199002,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Middle,1,302,335,0,0,0.0000,0
10199002,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Rich,1,302,335,0,0,0.0000,0
10199003,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Very Poor,0,275,305,79,79,0.0297,46203
10199003,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Poor,0,275,305,67,67,0.0075,52842
10199003,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Middle,0,275,305,0,0,0.0000,0
10199003,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Rich,0,275,305,0,0,0.0000,0
10199003,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Very Poor,1,275,305,0,0,0.0000,0
10199003,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Poor,1,275,305,0,0,0.0000,0
10199003,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Middle,1,275,305,0,0,0.0000,0
10199003,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Rich,1,275,305,0,0,0.0000,0
10199004,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Very Poor,0,235,261,68,68,0.0254,32698
10199004,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Poor,0,235,261,57,57,0.0065,37396
10199004,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Middle,0,235,261,0,0,0.0000,0
10199004,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Rich,0,235,261,0,0,0.0000,0
10199004,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Very Poor,1,235,261,0,0,0.0000,0
10199004,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Poor,1,235,261,0,0,0.0000,0
10199004,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Middle,1,235,261,0,0,0.0000,0
10199004,1,Caprivi,01,Kabe,56201: Northern border upland cereals and livestock (NAUCL),Not affected,Rich,1,235,261,0,0,0.0000,0
10199005,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Very Poor,0,323,358,122,122,0.0464,36081
10199005,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Poor,0,323,358,111,111,0.0291,33405
10199005,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Middle,0,323,358,0,47,0.0000,2432
10199005,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Rich,0,323,358,0,0,0.0000,0
10199005,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Very Poor,1,323,358,0,0,0.0000,0
10199005,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Poor,1,323,358,0,0,0.0000,0
10199005,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Middle,1,323,358,0,0,0.0000,0
10199005,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Rich,1,323,358,0,0,0.0000,0
10199006,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Very Poor,0,250,277,94,94,0.0359,33826
10199006,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Poor,0,250,277,86,86,0.0225,31317
10199006,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Middle,0,250,277,0,36,0.0000,2280
10199006,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Rich,0,250,277,0,0,0.0000,0
10199006,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Very Poor,1,250,277,0,0,0.0000,0
10199006,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Poor,1,250,277,0,0,0.0000,0
10199006,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Middle,1,250,277,0,0,0.0000,0
10199006,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Rich,1,250,277,0,0,0.0000,0
10199007,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Very Poor,0,266,295,100,100,0.0382,36645
10199007,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Poor,0,266,295,91,91,0.0240,33926
10199007,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Middle,0,266,295,0,38,0.0000,2470
10199007,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Rich,0,266,295,0,0,0.0000,0
10199007,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Very Poor,1,266,295,0,0,0.0000,0
10199007,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Poor,1,266,295,0,0,0.0000,0
10199007,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Middle,1,266,295,0,0,0.0000,0
10199007,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Rich,1,266,295,0,0,0.0000,0
10199008,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Very Poor,0,212,235,80,80,0.0305,24242
10199008,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Poor,0,212,235,73,73,0.0191,22444
10199008,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Middle,0,212,235,0,31,0.0000,1634
10199008,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Rich,0,212,235,0,0,0.0000,0
10199008,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Very Poor,1,212,235,0,0,0.0000,0
10199008,1,Caprivi,01,Kabe,56203: Caprivi lowland maize and cattle (NALMC),Not affected,Poor,1,212,235,0,0,0.0000,0
