region,constituency,56101: Kunene cattle and small stock (NAKCS),56102: Omusati-Omaheke-Otjozondjupa cattle ranching (NACCR),56103: Erongo-Kunene small stock and natural resources (NACSN),56105: Southern communal small stock (NACSS),56182: Central freehold cattle ranching (NAFCR),56184: Southern freehold small stock (NAFSS),56202: North-central upland cereals and non-farm income (NAUCI),56203: Caprivi lowland maize and cattle (NALMC)
Caprivi,Kabe,742,9379,,,,,,
Caprivi,Katima Mulilo Rural,5536,4155,,,,,,
Caprivi,Katima Mulilo Urban,361,,,,,,,
Caprivi,Kongola,1988,1129,,,,,,
Caprivi,Linyanti,6506,1323,,,,,,
Caprivi,Sibinda,4988,198,,,,,,
Erongo,Daures,428,2103,1984,,,,,
Erongo,Karibib,912,4186,,,,,,
Erongo,Omaruru,1619,,,,,,,
Hardap,Gibeon,1400,1080,,,,,,
Hardap,Mariental Rural,541,2980,,,,,,
Hardap,Mariental Urban,1715,,,,,,,
Hardap,Rehoboth East Urban,100,,,,,,,
Hardap,Rehoboth Rural,2161,,,,,,,
Karas,Berseba,2359,1114,,,,,,
Karas,Karasburg,655,3296,,,,,,
Karas,Keetmanshoop Rural,2304,,,,,,,
Karas,Lüderitz,26,,,,,,,
Kavango,Kahenge,745,4985,10356,,,,,
Kavango,Kapako,292,3975,11825,,,,,
Kavango,Mashare,125,2913,5325,,,,,
Kavango,Mpungu,601,4738,5788,,,,,
Kavango,Mukwe,4391,12427,,,,,,
Kavango,Ndiyona,3041,10189,,,,,,
Kavango,Rundu Rural East,1137,4550,,,,,,
Kavango,Rundu Rural West,540,3800,346,,,,,
Khomas,Windhoek Rural,6117,1214,,,,,,
Kunene,Epupa,11119,,,,,,,
Kunene,Kamanjab,4239,,,,,,,
Kunene,Khorixas,1097,935,271,,,,,
Kunene,Opuwo,9619,,,,,,,
Kunene,Outjo,2220,,,,,,,
Kunene,Sesfontein,3562,58,,,,,,
Ohangwena,Eenhana,3749,5372,,,,,,
Ohangwena,Endola,12061,,,,,,,
Ohangwena,Engela,7343,,,,,,,
Ohangwena,Epembe,8103,,,,,,,
Ohangwena,Ohangwena,6251,,,,,,,
Ohangwena,Okongo,11674,,,,,,,
Ohangwena,Omulonga,15120,,,,,,,
Ohangwena,Omundaungilo,3477,392,,,,,,
Ohangwena,Ondobe,173,10049,,,,,,
Ohangwena,Ongenga,8916,,,,,,,
Ohangwena,Oshikango,9038,,,,,,,
Omaheke,Aminius,3323,127,925,,,,,
Omaheke,Epukiro,2070,,,,,,,
Omaheke,Gobabis,1003,,,,,,,
Omaheke,Kalahari,2615,,,,,,,
Omaheke,Otjinene,2416,,,,,,,
Omaheke,Otjombinde,2679,,,,,,,
Omaheke,Steinhausen,3898,,,,,,,
Omusati,Anamulenge,6859,,,,,,,
Omusati,Elim,3278,2404,,,,,,
Omusati,Etayi,15432,,,,,,,
Omusati,Ogongo,4266,5020,,,,,,
Omusati,Okahao,1209,6989,,,,,,
Omusati,Okalongo,13256,,,,,,,
Omusati,Onesi,3167,2715,,,,,,
Omusati,Oshikuku,1254,2036,,,,,,
Omusati,Otamanzi,184,6204,360,,,,,
Omusati,Outapi,341,14493,,,,,,
Omusati,Ruacana,2610,2450,2112,,,,,
Omusati,Tsandi,771,11041,1935,,,,,
Oshana,Okaku,9106,,,,,,,
Oshana,Okatana,363,6832,,,,,,
Oshana,Okatyali,1042,448,,,,,,
Oshana,Ompundja,394,2207,,,,,,
Oshana,Ondangwa,7290,,,,,,,
Oshana,Ongwediva,6338,,,,,,,
Oshana,Oshakati East,4258,,,,,,,
Oshana,Oshakati West,2041,,,,,,,
Oshana,Uukwiyu,1645,5108,,,,,,
Oshana,Uuvudhiya,1344,729,,,,,,
Oshikoto,Eengondi,415,6157,1099,,,,,
Oshikoto,Guinas,4184,,,,,,,
Oshikoto,Okankolo,7883,,,,,,,
Oshikoto,Olukonda,2519,2573,,,,,,
Oshikoto,Omuntele,1662,6234,,,,,,
Oshikoto,Omuthiyagwiipundi,591,1434,10799,,,,,
Oshikoto,Onayena,1852,5436,,,,,,
Oshikoto,Oniipa,12487,,,,,,,
Oshikoto,Onyaanya,7068,3738,,,,,,
Oshikoto,Tsumeb,766,,,,,,,
Otjozondjupa,Grootfontein,10087,,,,,,,
Otjozondjupa,Okahandja,1148,,,,,,,
Otjozondjupa,Okakarara,7670,,,,,,,
Otjozondjupa,Omatako,6222,,,,,,,
Otjozondjupa,Otavi,5460,,,,,,,
Otjozondjupa,Otjiwarongo,2089,,,,,,,
Otjozondjupa,Tsumkwe,5585,503,,,,,,
