month,year,lz_name,lz_code,hazard,soc_sec,wg,pc_pop,lhood_def,surv_def
May,2016,Kunene cattle and small stock,56101,Affected,1,Rich,0.03,0,0.00
May,2016,Kunene cattle and small stock,56101,Affected,1,Middle,0.06,0,0.00
May,2016,Kunene cattle and small stock,56101,Affected,1,Poor,0.12,0,0.00
May,2016,Kunene cattle and small stock,56101,Affected,0,Rich,0.12,0,0.00
May,2016,Kunene cattle and small stock,56101,Affected,0,Middle,0.24,0,0.00
May,2016,Kunene cattle and small stock,56101,Affected,0,Poor,0.43,1739,0.21
May,2016,Kunene cattle and small stock,56101,Not affected,1,Rich,0.03,0,0.00
May,2016,Kunene cattle and small stock,56101,Not affected,1,Middle,0.06,0,0.00
May,2016,Kunene cattle and small stock,56101,Not affected,1,Poor,0.12,0,0.00
May,2016,Kunene cattle and small stock,56101,Not affected,0,Rich,0.12,0,0.00
May,2016,Kunene cattle and small stock,56101,Not affected,0,Middle,0.24,0,0.00
May,2016,Kunene cattle and small stock,56101,Not affected,0,Poor,0.43,1739,0.19
May,2016,Omaheke and Otjozondjupa Cattle Ranching,56102,Affected,1,Rich,0.02,0,0.00
May,2016,Omaheke and Otjozondjupa Cattle Ranching,56102,Affected,1,Middle,0.04,0,0.00
May,2016,Omaheke and Otjozondjupa Cattle Ranching,56102,Affected,1,Poor,0.04,0,0.00
May,2016,Omaheke and Otjozondjupa Cattle Ranching,56102,Affected,1,Very Poor,0.06,0,0.00
May,2016,Omaheke and Otjozondjupa Cattle Ranching,56102,Affected,0,Rich,0.13,0,0.00
May,2016,Omaheke and Otjozondjupa Cattle Ranching,56102,Affected,0,Middle,0.20,0,0.00
May,2016,Omaheke and Otjozondjupa Cattle Ranching,56102,Affected,0,Poor,0.20,943,0.00
May,2016,Omaheke and Otjozondjupa Cattle Ranching,56102,Affected,0,Very Poor,0.31,1579,0.18
May,2016,Omaheke and Otjozondjupa Cattle Ranching,56102,Not affected,1,Rich,0.02,0,0.00
May,2016,Omaheke and Otjozondjupa Cattle Ranching,56102,Not affected,1,Middle,0.04,0,0.00
